,1,Sales Liquidation By SKU,Report  Date: 03-04-2024 10:04,,,,,,,
,1,(Reference No:C_INVC_PO17304320),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17304320          ,                            PO No: 17304320        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2002-SUPER METRO MANDAUE          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21825,TGM - GROUND BEEF - KILO,6-Mar-24,6-Mar-24,KG,1.08,88,409.32,360.2,0,360.20  
21826,TGM - PORKCHOP SOBI - KILO,6-Mar-24,6-Mar-24,KG,3.95,88,"1,256.87","1,106.05",0,"1,106.05  "
21827,TGM - SHANGHAI MIX - KILO,6-Mar-24,6-Mar-24,KG,0.69,88,271.33,213.19,25.58,238.77  
21832,TGM - PORK BELLY SOBI - KILO,6-Mar-24,6-Mar-24,KG,0.39,88,147.81,130.07,0,130.07  
21834,TGM - REGULAR GROUND PORK - KILO,6-Mar-24,6-Mar-24,KG,0.7,88,195.3,171.86,0,171.86  
21838,TGM - PORK MENUDO CUT - KILO,6-Mar-24,6-Mar-24,KG,0.51,88,176.25,155.1,0,155.10  
21841,TGM - LEAN GROUND PORK - KILO,6-Mar-24,6-Mar-24,KG,0.54,88,183.06,161.09,0,161.09  
21845,TGM - PORK CUBES - KILO,6-Mar-24,6-Mar-24,KG,1.1,88,372.9,328.15,0,328.15  
21851,TGM - PORK LIVER - KILO,6-Mar-24,6-Mar-24,KG,2.2,88,392.91,345.76,0,345.76  
21865,TGM - PORK SAMGYEOPSAL - KILO,6-Mar-24,6-Mar-24,KG,0.32,88,119.41,105.08,0,105.08  
21866,TGM - PORK ADOBO CUT - KILO,6-Mar-24,6-Mar-24,KG,1.81,88,597.3,525.62,0,525.62  
21892,TGM - BEEF BREAKFAST STEAK - KILO,6-Mar-24,6-Mar-24,KG,0.69,88,378.81,333.35,0,333.35  
21923,TGM - PORK GINISA CUT - KILO,6-Mar-24,6-Mar-24,KG,2.15,86,598.47,514.68,0,514.68  
22843,TGM - PORK SPARERIBS - KILO,6-Mar-24,6-Mar-24,KG,2.49,88,"1,016.37",894.41,0,894.41  
21826,TGM - PORKCHOP SOBI - KILO,7-Mar-24,7-Mar-24,KG,2.62,88,823.51,724.69,0,724.69  
21827,TGM - SHANGHAI MIX - KILO,7-Mar-24,7-Mar-24,KG,0.18,88,71.82,56.43,6.77,63.20  
21832,TGM - PORK BELLY SOBI - KILO,7-Mar-24,7-Mar-24,KG,0.4,88,149.71,131.74,0,131.74  
21834,TGM - REGULAR GROUND PORK - KILO,7-Mar-24,7-Mar-24,KG,1.66,88,460.36,405.12,0,405.12  
21837,TGM - PORK SINIGANG CUT - KILO,7-Mar-24,7-Mar-24,KG,2.77,88,712.27,626.8,0,626.80  
21845,TGM - PORK CUBES - KILO,7-Mar-24,7-Mar-24,KG,0.59,88,198.32,174.52,0,174.52  
21851,TGM - PORK LIVER - KILO,7-Mar-24,7-Mar-24,KG,0.74,88,132.46,116.56,0,116.56  
21865,TGM - PORK SAMGYEOPSAL - KILO,7-Mar-24,7-Mar-24,KG,0.31,88,121.7,107.1,0,107.10  
21866,TGM - PORK ADOBO CUT - KILO,7-Mar-24,7-Mar-24,KG,2.39,88,787.05,692.6,0,692.60  
21875,TGM - BEEF SHANK - KILO,7-Mar-24,7-Mar-24,KG,0.46,88,183.1,161.13,0,161.13  
21892,TGM - BEEF BREAKFAST STEAK - KILO,7-Mar-24,7-Mar-24,KG,0.84,88,458.42,403.41,0,403.41  
21826,TGM - PORKCHOP SOBI - KILO,8-Mar-24,8-Mar-24,KG,1.32,88,421.08,370.55,0,370.55  
21827,TGM - SHANGHAI MIX - KILO,8-Mar-24,8-Mar-24,KG,0.67,88,265.34,208.48,25.02,233.50  
21832,TGM - PORK BELLY SOBI - KILO,8-Mar-24,8-Mar-24,KG,2.94,88,"1,110.48",977.22,0,977.22  
21834,TGM - REGULAR GROUND PORK - KILO,8-Mar-24,8-Mar-24,KG,1.33,88,366.9,322.87,0,322.87  
21837,TGM - PORK SINIGANG CUT - KILO,8-Mar-24,8-Mar-24,KG,0.66,88,169.65,149.29,0,149.29  
21838,TGM - PORK MENUDO CUT - KILO,8-Mar-24,8-Mar-24,KG,0.57,88,197.19,173.53,0,173.53  
21839,TGM - PATA SLICED - KILO,8-Mar-24,8-Mar-24,KG,0.83,88,256.47,225.69,0,225.69  
